rownames,JOURNAL,departement,item_year,item_day,item_month,ref_doc,item_account,amount,details,company,project,nature
10682,BTE,NE9,2020,30,9,9,62410000,12.3,C_4707831 _CNSS_0920_ Gardien IL,,NE902,T66006
10683,CTE,NE9,2020,30,9,12,62700000,30.49,JRL_DECHARG_FRET,,NE968,T66300
10684,CTE,NE9,2020,30,9,12,63030000,129.58,SWITCH_16PORTS_BUR R VECTEUR,,NE910,T61150
10685,BTE,NE9,2020,30,9,9,62310000,40.02,C_4707831 _CNSS_0920_ Medecin AD,,NE965,T66003
10686,BTE,NE9,2020,30,9,9,62310000,40.02,C_4707831 _CNSS_0920_ Medecin In,,NE965,T66003
10687,BTE,NE9,2020,30,9,9,62210000,5.31,C_4707831 _CNSS_0920_ LAV SANI M,,NE954,T66002
10688,BTE,NE9,2020,30,9,9,62310000,40.02,C_4707831 _CNSS_0920_ Medecin YA,,NE902,T66003
10689,BTE,NE9,2020,30,9,9,62310000,19.31,C_4707831 _CNSS_0920_ Charge de,,NE965,T66003
10690,BTE,NE9,2020,30,9,9,62310000,17.43,C_4707831 _CNSS_0920_ Aide Soign,,NE965,T66003
10691,BTE,NE9,2020,30,9,9,62310000,26.45,C_4707831 _CNSS_0920_ Infirmier,,NE965,T66003
10692,BTE,NE9,2020,30,9,9,62310000,40.02,C_4707831 _CNSS_0920_  Supervise,,NE965,T66003
10693,BTE,NE9,2020,30,9,9,62310000,40.02,C_4707831 _CNSS_0920_ Medecin MO,,NE965,T66003
10694,BTE,NE9,2020,30,9,9,62310000,15.58,C_4707831 _CNSS_0920_ Aide Soign,,NE965,T66003
10695,BTE,NE9,2020,30,9,9,62410000,5.41,C_4707832_IUTS_0920_ Gardien IBR,,NE902,T66006
10696,BTE,NE9,2020,30,9,9,62310000,40.02,C_4707831 _CNSS_0920_ Moniteur_J,,NE999,T66003
10697,BTE,NE9,2020,30,9,9,62410000,9.08,C_4707832_IUTS_0920_ Gardien OUM,,NE902,T66006
10698,BTE,NE9,2020,30,9,9,62310000,15.29,C_4707831 _CNSS_0920_ Aide Soign,,NE965,T66003
10699,BTE,NE9,2020,30,9,9,62410000,5.66,C_4707832_IUTS_0920_ Gardien MAL,,NE902,T66006
10700,BTE,NE9,2020,30,9,9,62210000,30.35,C_4707831 _CNSS_0920_ Ass RH SAN,,NE902,T66002
10701,BTE,NE9,2020,30,9,9,62410000,30.35,C_4707831 _CNSS_0920_ Superviseu,,NE902,T66006
10702,BTE,NE9,2020,30,9,9,62410000,2.64,C_4707832_IUTS_0920_ Gardien HAL,,NE954,T66006
10703,BTE,NE9,2020,30,9,9,62210000,11.73,C_4707831 _CNSS_0920_ Lavandier,,NE902,T66002
10704,BTE,NE9,2020,30,9,9,62410000,18.4,C_4707831 _CNSS_0920_ Radio Oper,,NE902,T66006
10705,BTE,NE9,2020,30,9,9,62410000,11.68,C_4707831 _CNSS_0920_ Gardien OU,,NE902,T66006
10706,BTE,NE9,2020,30,9,9,62410000,12.1,C_4707831 _CNSS_0920_ Gardien IS,,NE902,T66006
10707,BTE,NE9,2020,30,9,9,62410000,11.9,C_4707831 _CNSS_0920_ Gardien AM,,NE902,T66006
10708,BTE,NE9,2020,30,9,9,62410000,11.38,C_4707831 _CNSS_0920_ Gardien DJ,,NE902,T66006
10709,BTE,NE9,2020,30,9,9,62310000,40.02,C_4707831 _CNSS_0920_ Responsabl,,NE902,T66003
10710,BTE,NE9,2020,30,9,9,62310000,38.2,C_4707831 _CNSS_0920_ Superviseu,,NE902,T66003
10711,BTE,NE9,2020,30,9,9,62410000,18.87,C_4707831 _CNSS_0920_ Chauffeur,,NE902,T66006
10712,BTE,NE9,2020,30,9,9,62210000,40.02,C_4707831 _CNSS_0920_ Reponsable,,NE902,T66002
10713,BTE,NE9,2020,30,9,9,62410000,12.3,C_4707831 _CNSS_0920_ Gardien BR,,NE902,T66006
10714,BTE,NE9,2020,30,9,9,62410000,11.9,C_4707831 _CNSS_0920_ Gardien DA,,NE902,T66006
10715,BTE,NE9,2020,30,9,9,62410000,15.87,C_4707831 _CNSS_0920_Gardien GAR,,NE965,T66006
10716,BTE,NE9,2020,30,9,9,62410000,14.68,C_4707831 _CNSS_0920_ Hygieniste,,NE902,T66006
10717,BTE,NE9,2020,30,9,9,62210000,40.02,C_4707831 _CNSS_0920_ Responsabl,,NE902,T66002
10718,BTE,NE9,2020,30,9,9,62410000,23.57,C_4707831 _CNSS_0920_ Technicien,,NE902,T66006
10719,BTE,NE9,2020,30,9,9,62310000,40.02,C_4707831 _CNSS_0920_ Gestionnai,,NE902,T66003
10720,BTE,NE9,2020,30,9,9,62410000,37.3,C_4707831 _CNSS_0920_ Gestionnai,,NE902,T66006
10721,CTE,NE9,2020,30,9,12,62835000,37.35,PDIEM _IT_13->1409 HAMZA SALISSO,,NE902,T66210
10722,CTE,NE9,2020,30,9,12,63730000,98.33,TABLEAU+3PQTS MARQUEUR+4EPONG_BU,,NE910,T61220
10723,CTE,NE9,2020,30,9,12,61000000,205.81,PDIEM_ROBERT_16->3009_LASSA NSAI,,NE999,T66220
10724,CTE,NE9,2020,30,9,12,63200000,30.49,CREDIT_RECHARG_INTERNET NEXTURE/,,NE999,T65300
10725,CTE,NE9,2020,30,9,12,63040000,27.44,REPAR_CLIM_BUR FRIGELEC,,NE910,T65110
10726,CTE,NE9,2020,30,9,12,62700000,48.78,JRL_09->1309_CHAUFF_PERMA MOUSSA,,NE910,T66300
10727,CTE,NE9,2020,30,9,12,63200000,15.24,CREDIT_RECHARG_INTERNET NEXTURE/,,NE999,T65300
10728,CTE,NE9,2020,30,9,12,62800000,7.36,FRAISMED_MI000_IT_09 HAMZA SALIS,,NE954,T66230
10729,CTE,NE9,2020,30,9,12,67220000,24.39,CARB_4L_HUILE BOITE_STOCK ETS IK,,NE910,T61200
10730,CTE,NE9,2020,30,9,12,63310000,45.73,3BADGES R VECTEUR CMO,,NE910,T65620
10731,CTE,NE9,2020,30,9,12,63040000,45.73,REPAR_ORDI_SEC ADMIN R VECTEUR C,,NE910,T65110
10732,BTE,NE9,2020,30,9,9,62210000,10.16,C_4707832_IUTS_0920_ CuisinierLa,,NE902,T66002
10733,BTE,NE9,2020,30,9,9,62410000,31.29,C_4707832_IUTS_0920_ Acheteur BA,,NE902,T66006
10734,BTE,NE9,2020,30,9,9,62410000,5.88,C_4707832_IUTS_0920_ Gardien ILL,,NE902,T66006
10735,BTE,NE9,2020,30,9,9,62210000,4.25,C_4707832_IUTS_0920_ Lavandier I,,NE902,T66002
10736,BTE,NE9,2020,30,9,9,68010000,304.9,VIR_SOUMISS_AMEND_PROTOCOL_COPCO,,NE999,T63120
10737,BTE,NE9,2020,30,9,9,67200000,460.4,VIR_DISQ+PLATEAU+ROUEMENT_MDI ET,,NE902,T61210
10738,BTE,NE9,2020,30,9,9,63030000,1814.14,VIR_4BATTERIES_SOL_LABO GSS,,NE969,T61120
10739,BTE,NE9,2020,30,9,9,79080000,-289.65,VIR_EXO_TVA19%_4BATTERIES_SOL_LA,,NE969,T71400
10740,BTE,NE9,2020,30,9,9,67320000,937.47,VIR_DEDOUNANN+ENLEV_EQT LOG_MDI,,NE902,T64030
10741,BTE,NE9,2020,30,9,9,62410000,12.12,C_4707832_IUTS_0920_ Radio Opera,,NE902,T66006
10742,BTE,NE9,2020,30,9,9,62410000,5.34,C_4707832_IUTS_0920_ Gardien OUM,,NE902,T66006
10743,BTE,NE9,2020,30,9,9,62410000,5.66,C_4707832_IUTS_0920_ Gardien ISS,,NE902,T66006
10744,BTE,NE9,2020,30,9,9,62410000,9.69,C_4707832_IUTS_0920_ Gardien AMI,,NE902,T66006
10745,BTE,NE9,2020,30,9,9,62410000,5.15,C_4707832_IUTS_0920_ Gardien DJI,,NE902,T66006
10746,BTE,NE9,2020,30,9,9,62410000,17.55,C_4707831 _CNSS_0920_ Chauffeur,,NE902,T66006
10747,BTE,NE9,2020,30,9,9,62410000,12.07,C_4707831 _CNSS_0920_ Gardien AB,,NE902,T66006
10748,BTE,NE9,2020,30,9,9,62410000,12.07,C_4707831 _CNSS_0920_ Gardien AB,,NE902,T66006
10749,BTE,NE9,2020,30,9,9,62410000,11.98,C_4707831 _CNSS_0920_ Gardien AB,,NE902,T66006
10750,BTE,NE9,2020,30,9,9,62410000,11.98,C_4707831 _CNSS_0920_ Gardien AD,,NE902,T66006
10751,BTE,NE9,2020,30,9,9,62410000,19.28,C_4707831 _CNSS_0920_ Chauffeur,,NE902,T66006
10752,BTE,NE9,2020,30,9,9,62310000,25.28,C_4707831 _CNSS_0920_Infirmier O,,NE965,T66003
10753,BTE,NE9,2020,30,9,9,62410000,11.21,C_4707831 _CNSS_0920_ Gardien MA,,NE902,T66006
10754,BTE,NE9,2020,30,9,9,62410000,5.6,C_4707831 _CNSS_0920_ GARD MAHAM,,NE954,T66006
10755,BTE,NE9,2020,30,9,9,62310000,39.34,C_4707831 _CNSS_0920_ Superviseu,,NE902,T66003
10756,BTE,NE9,2020,30,9,9,62410000,10.44,C_4707831 _CNSS_0920_ Gardien HA,,NE902,T66006
10757,BTE,NE9,2020,30,9,9,67220000,304.9,VIR_TOMCARD_372L_VEH_EPI07_09 TO,,NE902,T61200
10758,BTE,NE9,2020,30,9,9,67220000,304.9,VIR_TOMCARD_372L_VEH_EPI08_09 TO,,NE902,T61200
10759,BTE,NE9,2020,30,9,9,67220000,304.9,VIR_TOMCARD_372L_VEH_EPI09_09 TO,,NE902,T61200
10760,BTE,NE9,2020,30,9,9,67220000,381.12,VIR_TOMCARD_465L_VEH_EPI15_09 TO,,NE902,T61200
10761,BTE,NE9,2020,30,9,9,67220000,304.9,VIR_TOMCARD_372L_VEH_EPI21_09 TO,,NE902,T61200
10762,BTE,NE9,2020,30,9,9,67220000,152.45,VIR_TOMCARD_186L_VEH_EPI01901_09,,NE910,T61200
10763,CTE,NE9,2020,30,9,12,62835000,5.34,PDIEM_CHAUF_1809 MAMANE DINI,,NE910,T66210
10764,CTE,NE9,2020,30,9,12,63120000,3.05,PEAGE_ROUTIER,,NE910,T65720
10765,CTE,NE9,2020,30,9,12,67140000,38.11,LOC_VEH_1809_BUR HASANE SOUMANA,,NE910,T65020
10766,CTE,NE9,2020,30,9,12,67220000,15.24,CARB_18.52L_VEH LOC_BUR OLA ENER,,NE910,T61200
10767,CTE,NE9,2020,30,9,12,62800000,1.62,FRAISMED_MI003_RESP FIN_09 DJIBR,,NE954,T66230
10768,CTE,NE9,2020,30,9,12,63730000,26.3,2SERRURE+CADENAS ELH ISSIA SAMAI,,NE910,T61220
10769,CTE,NE9,2020,30,9,12,63200000,33.54,ABONN_CANAL_MSON_1MOIS CANAL PLU,,NE910,T65300
10770,CTE,NE9,2020,30,9,12,63200000,8.38,ABONN_CANAL_BUR_1MOIS CANAL PLUS,,NE910,T65300
10771,CTE,NE9,2020,30,9,12,63730000,64.03,PDIEM_RESP DATA_21->2709_LASSA S,,NE999,T61220
10772,CTE,NE9,2020,30,9,12,62800000,68.6,VERRE_CORRECT_IT_09 HAMZA SALISS,,NE954,T66230
10773,CTE,NE9,2020,30,9,12,62800000,-9.15,20%_VERRE_CORRECT_IT_09 HAMZA SA,,NE954,T66230
10774,CTE,NE9,2020,30,9,12,63200000,1.52,ENVOI_ENV,,NE910,T65310
10775,CTE,NE9,2020,30,9,12,63110000,29.73,TRAV_PLOMB_BUR ABOUBACAR ELH INN,,NE910,T65100
10776,CTE,NE9,2020,30,9,12,63030000,114.34,BATTERIE_100AH_GENE_BUR ETS IKC,,NE910,T61120
10777,CTE,NE9,2020,30,9,12,63730000,195.36,15SAVON_LIQUID+SAVON POUDRE_MDI,,NE902,T61220
10778,BTE,NE9,2020,30,9,9,62310000,183.56,C_4707832_IUTS_0920_ Responsable,,NE902,T66003
10779,BTE,NE9,2020,30,9,9,62310000,97.35,C_4707832_IUTS_0920_ Superviseur,,NE902,T66003
10780,BTE,NE9,2020,30,9,9,62410000,22.04,C_4707832_IUTS_0920_ Chauffeur M,,NE902,T66006
10781,BTE,NE9,2020,30,9,9,62210000,119.75,C_4707832_IUTS_0920_ Reponsable,,NE902,T66002
10782,BTE,NE9,2020,30,9,9,62410000,10.44,C_4707832_IUTS_0920_ Gardien BRA,,NE902,T66006
10783,BTE,NE9,2020,30,9,9,62410000,9.86,C_4707832_IUTS_0920_ Gardien DAN,,NE902,T66006
10784,BTE,NE9,2020,30,9,9,62410000,14,C_4707832_IUTS_0920_ Chauffeur G,,NE965,T66006
10785,BTE,NE9,2020,30,9,9,62410000,6.85,C_4707832_IUTS_0920_ Hygieniste,,NE902,T66006
10786,BTE,NE9,2020,30,9,9,62210000,172.82,C_4707832_IUTS_0920_ Responsable,,NE902,T66002
10787,BTE,NE9,2020,30,9,9,62410000,37.78,C_4707832_IUTS_0920_ Technicien,,NE902,T66006
10788,BTE,NE9,2020,30,9,9,62310000,110.26,C_4707832_IUTS_0920_ Gestionnair,,NE902,T66003
10789,BTE,NE9,2020,30,9,9,62410000,88.38,C_4707832_IUTS_0920_ Gestionnair,,NE902,T66006
10790,BTE,NE9,2020,30,9,9,62410000,5.6,C_4707832_IUTS_0920_ Gardien ABD,,NE902,T66006
10791,BTE,NE9,2020,30,9,9,62410000,22.45,C_4707832_IUTS_0920_ Chauffeur A,,NE902,T66006
10792,BTE,NE9,2020,30,9,9,62410000,10.87,C_4707832_IUTS_0920_ Gardien ABD,,NE902,T66006
10793,BTE,NE9,2020,30,9,9,62410000,5.6,C_4707832_IUTS_0920_ Gardien ABD,,NE902,T66006
10794,BTE,NE9,2020,30,9,9,62410000,5.53,C_4707832_IUTS_0920_ Gardien ADO,,NE902,T66006
10795,BTE,NE9,2020,30,9,9,62410000,32.73,C_4707832_IUTS_0920_ Chauffeur M,,NE902,T66006
10796,BTE,NE9,2020,30,9,9,67220000,228.67,VIR_TOMCARD_279L_VEH_EPI02002_09,,NE910,T61200
10797,BTE,NE9,2020,30,9,9,67220000,304.9,VIR_TOMCARD_372L_VEH_EPI02203_09,,NE910,T61200
10798,BTE,NE9,2020,30,9,9,67200000,1259.36,VIR_REFACT_GARAG_INTERSEC._2E TR,,NE910,T65120
10799,BTE,NE9,2020,30,9,9,67200000,2938.52,VIR_REFACT_GARAG_INTERSEC._2E TR,,NE902,T65120
10800,BTE,NE9,2020,30,9,9,67320000,2043.19,VIR_DEDOUNANN+ENLEV_EQT+MAT MED_,,NE965,T64030
10801,BTE,NE9,2020,30,9,9,67320000,17.34,VIR_DEDOUNANN+ENLEV_EQT+MAT MED_,,NE954,T64030
10802,BTE,NE9,2020,30,9,9,67320000,99.54,VIR_DEDOUNANN+ENLEV_EQT+MAT MED_,,NE968,T64030
10803,BTE,NE9,2020,30,9,9,67320000,1021.81,VIR_DEDOUNANN+ENLEV_EQT+MAT MED,,NE902,T64030
10804,BTE,NE9,2020,30,9,9,67320000,36.13,VIR_DEDOUNANN+ENLEV_EQT+MAT MED,,NE945,T64030
10805,BTE,NE9,2020,30,9,9,79080000,-351.64,VIR_EXO_TVA19%_DEDOUNANN+ENLEV_E,,NE965,T71400
10806,CTE,NE9,2020,30,9,12,62700000,48.78,2JRL_19->2009_CHAUFF_PERMA MANZO,,NE910,T66300
10807,CTE,NE9,2020,30,9,12,63200000,30.49,CARTE_RECHARG_INTERNET NEXTURE/C,,NE999,T65300
10808,CTE,NE9,2020,30,9,12,63730000,21.34,2ROULEAUX_PAPIER TABLEAU R VECTE,,NE910,T61220
10809,CTE,NE9,2020,30,9,12,61110000,18.29,TRAV_PLOMB_MSON ABOUBACAR ELH IN,,NE910,T65100
10810,CTE,NE9,2020,30,9,12,63040000,27.44,REPAR_INVERSEUR_GENE_BUR MANIROU,,NE910,T65110
10811,CTE,NE9,2020,30,9,12,61020000,45.73,TEST_COVID19_SAMAKE SAMAKE MOUSS,,NE999,T66230
10812,CTE,NE9,2020,30,9,12,63730000,45.73,ROBINET_MELANGEUR_MSON ABDOUL KA,,NE910,T61220
10813,CTE,NE9,2020,30,9,12,63030000,50.31,4RALLONG+2PRISES ELH ISSIA,,NE910,T61120
10814,CTE,NE9,2020,30,9,12,62835000,74.7,PDIEM_2CHAUFF_27->2809 SOUMANA G,,NE910,T66210
10815,CTE,NE9,2020,30,9,12,63020000,15.24,TEL_FLOTTE_VISITEUR ALFAZAZI INO,,NE910,T61160
10816,CTE,NE9,2020,30,9,12,63730000,7.32,3CAHIERS TOUT POUR L ECOLE ET LE,,NE910,T61220
10817,CTE,NE9,2020,30,9,12,62700000,15.24,JRL_DECHARG_FRET,,NE961,T66300
10818,BTE,NE9,2020,30,9,9,62310000,43.68,C_4707832_IUTS_0920_ Infirmier O,,NE965,T66003
10819,BTE,NE9,2020,30,9,9,62410000,5.24,C_4707832_IUTS_0920_ Agent Chain,,NE902,T66006
10820,BTE,NE9,2020,30,9,9,62410000,4.96,C_4707832_IUTS_0920_ Gardien MAH,,NE902,T66006
10821,BTE,NE9,2020,30,9,9,62310000,39.62,C_4707832_IUTS_0920_ Infirmier I,,NE965,T66003
10822,BTE,NE9,2020,30,9,9,62410000,4.24,C_4707832_IUTS_0920_ Gardien MAH,,NE954,T66006
10823,BTE,NE9,2020,30,9,9,62310000,45.24,C_4707832_IUTS_0920_ Infirmier A,,NE965,T66003
10824,BTE,NE9,2020,30,9,9,62210000,5.41,C_4707832_IUTS_0920_ CuisinierLa,,NE902,T66002
10825,BTE,NE9,2020,30,9,9,62310000,98.59,C_4707832_IUTS_0920_ Superviseur,,NE902,T66003
10826,BTE,NE9,2020,30,9,9,62410000,8.73,C_4707832_IUTS_0920_ Gardien RAB,,NE902,T66006
10827,BTE,NE9,2020,30,9,9,62410000,7.03,C_4707832_IUTS_0920_ Gardien HAR,,NE902,T66006
10828,BTE,NE9,2020,30,9,9,62310000,28.55,C_4707832_IUTS_0920_ Charge de S,,NE965,T66003
10829,BTE,NE9,2020,30,9,9,62310000,67.55,C_4707832_IUTS_0920_ Technicien,,NE902,T66003
10830,BTE,NE9,2020,30,9,9,62410000,4.7,C_4707832_IUTS_0920_ Gardien IRO,,NE902,T66006
10831,BTE,NE9,2020,30,9,9,62410000,7.97,C_4707832_IUTS_0920_ Gardien ABO,,NE902,T66006
10832,BTE,NE9,2020,30,9,9,62410000,4.53,C_4707832_IUTS_0920_ Gardien ISS,,NE954,T66006
10833,BTE,NE9,2020,30,9,9,62410000,21.63,C_4707832_IUTS_0920_ Chauffeur A,,NE902,T66006
10834,BTE,NE9,2020,30,9,9,62310000,41.68,C_4707832_IUTS_0920_ Infirmier A,,NE965,T66003
10835,BTE,NE9,2020,30,9,9,63730000,1.81,VIR_2BALAI_TRADI_LABO ETS YAHAYA,,NE969,T61220
10836,BTE,NE9,2020,30,9,9,63730000,12.7,VIR_2BALAI_SOUPL+BASSINE_DeTACT,,NE965,T61220
10837,BTE,NE9,2020,30,9,9,67400000,136.9,VIR_BILLET_SAMAKE_MDI->NIA PAM,,NE902,T64110
10838,BTE,NE9,2020,30,9,9,61110000,279.45,C_4707902_ELEC_MSON_0820 NIGELEC,,NE910,T65200
10839,BTE,NE9,2020,30,9,9,61110000,1008.08,C_4707902_ELEC_BUR_0820 NIGELEC,,NE910,T65200
10840,BTE,NE9,2020,30,9,9,79080000,-762.24,VIR_DETTE_GARBA_0919 GARBA MAHAM,,NE910,T71400
10841,BTE,NE9,2020,30,9,9,79080000,-762.24,VIR_DETTE_GARBA_1019 GARBA MAHAM,,NE910,T71400
10842,BTE,NE9,2020,30,9,9,79080000,-762.24,VIR_DETTE_GARBA_1119 GARBA MAHAM,,NE910,T71400
10843,BTE,NE9,2020,30,9,9,79080000,-762.24,VIR_DETTE_GARBA_1219 GARBA MAHAM,,NE910,T71400
10844,BTE,NE9,2020,30,9,9,79080000,-762.24,VIR_DETTE_GARBA_0120 GARBA MAHAM,,NE910,T71400
10845,BTE,NE9,2020,30,9,9,79080000,-762.24,VIR_DETTE_GARBA_0220 GARBA MAHAM,,NE910,T71400
10846,BTE,NE9,2020,30,9,9,62410000,11.79,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10847,BTE,NE9,2020,30,9,9,62410000,11.9,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10848,BTE,NE9,2020,30,9,9,62410000,11.9,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10849,BTE,NE9,2020,30,9,9,62410000,11.59,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10850,BTE,NE9,2020,30,9,9,62210000,10.24,CNSS_0920_COT.SAL_Lavandier_NE91,,NE910,T66002
10851,BTE,NE9,2020,30,9,9,62210000,40.02,CNSS_0920_COT.SAL_Respons. FinRH,,NE910,T66002
10852,BTE,NE9,2020,30,9,9,62410000,10.99,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10853,CTE,NE9,2020,30,9,12,63200000,9.15,JRL_DECHARG_FRET,,NE954,T65310
10854,CTE,NE9,2020,30,9,12,62800000,45.73,TEST_COVID19_RESP_FIN_MDI ABDOU,,NE999,T66230
10855,CTE,NE9,2020,30,9,12,67300000,1783.91,ENVOI_ECHANTILLON_KWASH NITRA,,NE961,T64000
10856,CTE,NE9,2020,30,9,12,63120000,38.11,TIMBRE_FISCAUX_EXO ETS IZIKI,,NE910,T65720
10857,CTE,NE9,2020,30,9,12,63030000,27.44,CONFEC_SOMMIER_FRIGO_BUR TCHAKET,,NE910,T61170
10858,CTE,NE9,2020,30,9,12,63110000,19.82,TRAV_MENUIS_BUR TCHAKETI TCHEDRE,,NE910,T65100
10859,CTE,NE9,2020,30,9,12,63730000,22.87,15IMPRIMES_EXO_DOUANES DGD,,NE910,T61220
10860,CTE,NE9,2020,30,9,12,63110000,22.87,RECHARG_3BOUTEILL_GAZ MOUTARI MO,,NE910,T65200
10861,CTE,NE9,2020,30,9,12,63110000,26.68,TRAV_ELECTRICTE_BUR LAOUALI ARZI,,NE910,T65100
10862,CTE,NE9,2020,30,9,12,63040000,30.49,REPAR_COFFRET_GENE_BUR MAMANE MA,,NE910,T65110
10863,BTE,NE9,2020,30,9,9,62410000,26.37,C_4707832_IUTS_0920_ Technicien,,NE902,T66006
10864,BTE,NE9,2020,30,9,9,62410000,10.04,C_4707832_IUTS_0920_ Gardien MAM,,NE902,T66006
10865,BTE,NE9,2020,30,9,9,62310000,41.47,C_4707832_IUTS_0920_ Infirmier D,,NE965,T66003
10866,BTE,NE9,2020,30,9,9,62410000,9.86,C_4707832_IUTS_0920_ Gardien HAB,,NE902,T66006
10867,BTE,NE9,2020,30,9,9,62310000,68.8,C_4707832_IUTS_0920_ Technicien,,NE965,T66003
10868,BTE,NE9,2020,30,9,9,62410000,7.3,C_4707832_IUTS_0920_ Gardien ISS,,NE902,T66006
10869,BTE,NE9,2020,30,9,9,62310000,74.82,C_4707832_IUTS_0920_ Medecin KAM,,NE954,T66003
10870,BTE,NE9,2020,30,9,9,62210000,91.13,C_4707832_IUTS_0920_ Assistant C,,NE902,T66002
10871,BTE,NE9,2020,30,9,9,62410000,9.18,C_4707832_IUTS_0920_ Gardien MOU,,NE902,T66006
10872,BTE,NE9,2020,30,9,9,62210000,162.08,C_4707832_IUTS_0920_ Resp_FIN_CO,,NE902,T66002
10873,BTE,NE9,2020,30,9,9,62410000,8.3,C_4707832_IUTS_0920_ Hygieniste,,NE902,T66006
10874,BTE,NE9,2020,30,9,9,62310000,15.46,C_4707832_IUTS_0920_ Aide Soigna,,NE965,T66003
10875,BTE,NE9,2020,30,9,9,62310000,17.91,C_4707832_IUTS_0920_ Infirmier R,,NE954,T66003
10876,BTE,NE9,2020,30,9,9,62410000,11.42,C_4707832_IUTS_0920_ Chauffeur I,,NE965,T66006
10877,BTE,NE9,2020,30,9,9,62310000,59.65,C_4707832_IUTS_0920_ Technicien,,NE965,T66003
10878,BTE,NE9,2020,30,9,9,62410000,25.65,C_4707832_IUTS_0920_ Chauffeur D,,NE902,T66006
10879,BTE,NE9,2020,30,9,9,63730000,10.88,VIR_12BALAI_TRADI_GARD_PF ETS YA,,NE902,T61220
10880,BTE,NE9,2020,30,9,9,62850000,115.38,VIR_BISCUIT_ARACHID_FORMATION_De,,NE965,T66240
10881,BTE,NE9,2020,30,9,9,63730000,5.44,VIR_VERRE_BOL_A_CAFE_CABMED ETS,,NE954,T61220
10882,BTE,NE9,2020,30,9,9,63730000,1.36,VIR_SCHT_PLASTIQ_CABMED ETS YAHA,,NE954,T61220
10883,BTE,NE9,2020,30,9,9,63200000,9519.38,VIR_INSTAL_CONNEX_BUR ICT PARTNE,,NE902,T65300
10884,BTE,NE9,2020,30,9,9,65700000,201.61,C 4707826_AVCE_PEINTUR_BUR_REF_S,,NE902,T63100
10885,BTE,NE9,2020,30,9,9,65700000,71.65,C 4707829_REAB_PORTE_COULOIR_BUR,,NE902,T63100
10886,BTE,NE9,2020,30,9,9,63110000,160.07,C 4707827_REPAR_CLIMATISAT_EPI08,,NE902,T65200
10887,BTE,NE9,2020,30,9,9,61110000,89.62,VIR_ELECT_0820_MSON3 NIGELEC,,NE902,T65200
10888,BTE,NE9,2020,30,9,9,63104000,46.07,VIR_ELECT_0820_ANDOUME NIGELEC,,NE965,T65200
10889,BTE,NE9,2020,30,9,9,62950000,510.88,VIR_ELECT_0820_PHARMA NIGELEC,,NE902,T65200
10890,BTE,NE9,2020,30,9,9,63104000,19.02,VIR_ELECT_0820_PHARMA NIGELEC,,NE902,T65200
10891,BTE,NE9,2020,30,9,9,63104000,368.44,VIR_ELECT_0820_PHARMA NIGELEC,,NE902,T65200
10892,BTE,NE9,2020,30,9,9,62410000,16.44,CNSS_0920_COT.SAL_Chauffeur_NE91,,NE910,T66006
10893,BTE,NE9,2020,30,9,9,62410000,16.73,CNSS_0920_COT.SAL_Chauffeur_NE91,,NE910,T66006
10894,BTE,NE9,2020,30,9,9,62210000,12.3,CNSS_0920_COT.SAL_CuisinierLavan,,NE910,T66002
10895,BTE,NE9,2020,30,9,9,62410000,11.45,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10896,BTE,NE9,2020,30,9,9,62410000,10.81,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10897,BTE,NE9,2020,30,9,9,62410000,15.87,CNSS_0920_COT.SAL_Chauffeur_NE91,,NE910,T66006
10898,BTE,NE9,2020,30,9,9,62210000,15.29,CNSS_0920_COT.SAL_Secretaire_NE9,,NE910,T66002
10899,BTE,NE9,2020,30,9,9,62310000,40.02,CNSS_0920_COT.SAL_Respons. Epide,,NE910,T66003
10900,BTE,NE9,2020,30,9,9,62210000,32.66,CNSS_0920_COT.SAL_Assist Coordo,,NE910,T66002
10901,BTE,NE9,2020,30,9,9,62410000,33.72,CNSS_0920_COT.SAL_Super Log_NE91,,NE910,T66006
10902,BTE,NE9,2020,30,9,9,62410000,10.2,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10903,BTE,NE9,2020,30,9,9,62410000,14.42,CNSS_0920_COT.SAL_Chauffeur_NE91,,NE910,T66006
10904,BTE,NE9,2020,30,9,9,62410000,10.2,CNSS_0920_COT.SAL_Gardien_NE9101,,NE910,T66006
10905,BTE,NE9,2020,30,9,9,62310000,33.27,CNSS_0920_COT.SAL_Superv Inf Rec,,NE902,T66003
10906,BTE,NE9,2020,30,9,9,62310000,40.02,CNSS_0920_COT.SAL_Ref scientifiq,,NE910,T66003
10907,BTE,NE9,2020,30,9,9,62831100,37.95,CNSS_0920_COT.PATRON_Gardien_NE9,,NE910,T66100
10908,BTE,NE9,2020,30,9,9,62831100,38.3,CNSS_0920_COT.PATRON_Gardien_NE9,,NE910,T66100
10909,BTE,NE9,2020,30,9,9,62831100,38.3,CNSS_0920_COT.PATRON_Gardien_NE9,,NE910,T66100
