rownames,sub_theme_id,created,modified,code,created_by_id,last_modification_by_id,parent_theme_id,text_fr,text_en
244,244,2017-11-07 ,2017-11-07 ,Frais de fonctionnement_Training,53,53,30,Training,Training
245,245,2017-11-07 ,2017-11-07 ,Transport_Billet d'avion(international),53,53,32,Billet d'avion(international),Billet d'avion(international)
246,246,2017-11-07 ,2017-11-07 ,Transport_Transport Echantillons,53,53,32,Transport Echantillons,Transport Echantillons
247,247,2017-11-07 ,2017-11-07 ,Frais de fonctionnement_Frais de supervision terrain,53,53,30,Frais de supervision terrain,Frais de supervision terrain
248,248,2018-03-05 ,2018-03-05 ,REPART_General,110,110,28,General,General
249,249,2018-05-15 ,2018-05-15 ,Purchase of Medical Items_Purchase of mediacl renewables,80,80,68,Purchase of mediacl renewables,Purchase of mediacl renewables
250,250,2018-05-16 ,2018-05-16 ,Subcontracted services_Subcontracted medical services,80,80,69,Subcontracted medical services,Subcontracted medical services
251,251,2018-05-16 ,2018-05-16 ,Miscellaneous expenses_Other costs,80,80,70,Other costs,Other costs
252,252,2018-10-15 ,2018-10-15 ,general running costs_Participants',2,2,57,Participants',Participants'
253,253,2018-10-12 ,2018-10-12 ,All round Logistician _Mozi MUTWAMBAKA,55,55,71,Mozi MUTWAMBAKA,Mozi MUTWAMBAKA
254,254,2018-10-12 ,2018-10-12 ,Finance Manager Assistant_Agatha TWEBAZE,55,55,72,Agatha TWEBAZE,Agatha TWEBAZE
255,255,2018-10-16 ,2018-10-16 ,Purchase of Medical Items_Purchase of medical items,2,2,68,Purchase of medical items,Purchase of medical items
256,256,2018-10-30 ,2018-10-30 ,Frais de fonctionnement_Publication,142,142,30,Publication,Publication
257,257,2018-11-07 ,2018-11-07 ,Incentive pour participants_Participant incentives,39,39,58,Participant incentives,Participant incentives
258,258,2019-05-09 ,2019-05-09 ,Expats_Field epidemiologist,112,112,3,Field epidemiologist,Field epidemiologist
259,259,2019-06-04 ,2019-06-04 ,Administration_Submission to ethics,21,21,49,Submission to ethics,Submission to ethics
260,260,2019-06-14 ,2019-06-14 ,,65,65,73,Inconnu,Unknown
261,261,2019-10-25 ,2019-10-25 ,Traduction_Traduction,25,25,74,Traduction,Traduction
262,262,2019-10-30 ,2019-10-30 ,Frais de personnel_Hôtel,21,21,33,Hôtel,Hôtel
263,263,2020-08-25 ,2020-08-25 ,Field mentor_inconnu,112,112,75,inconnu,inconnu
264,264,2021-03-01 ,2021-03-01 ,EXPE_Qualitative ,89,89,1,Qualitative ,Qualitative 
265,265,2021-03-01 ,2021-03-01 ,billet_Billets avion,89,89,66,Billets avion,Billets avion
266,266,2021-03-01 ,2021-03-01 ,Logistique_Transport international échantillons,89,89,43,Transport international échantillons,Transport international échantillons
267,267,2021-06-25 ,2021-06-25 ,EXPE_Amna Haider,141,141,1,Amna Haider,Amna Haider
268,268,2021-09-20 ,2021-09-20 ,enveloppe de couts opérationnel_enveloppe de couts opérationnels,40,40,77,enveloppe de couts opérationnels,enveloppe de couts opérationnels
269,269,2021-09-20 ,2021-09-20 ,enveloppe couts opérationnels_enveloppe de couts opérationnels,40,40,78,enveloppe de couts opérationnels,enveloppe de couts opérationnels
270,270,2021-10-11 ,2021-10-11 ,Misc_PCR COVID,166,166,80,PCR COVID,PCR COVID
271,271,2022-05-06 ,2022-05-06 ,Assurance étude_assurance,89,89,82,assurance,assurance
272,272,2022-09-26 ,2022-09-26 ,Rémunération du personnel_Responsable IT,178,178,76,Responsable IT,Responsable IT
