rownames,project_id,created,modified,name,code,on_the_field_project_code,locality,project_start_date,project_end_date,description_text,description_html,is_billable,guid,created_by_id,last_modification_by_id,division_id,activity_id,funding_type_id,pathology_id,country_id,responsible_id,analytical_axe_id,status,short_name,level,final_impact_comments,initiation_of_the_project_comments,partners_comments,topic_comments,study_pouplation_comments,population_comments,goal_comments,numbers_of_epidemiologist,term_of_reference_has_been_written,protocol_has_been_written,is_there_an_initial_restitution,is_there_a_report_to_be_delivered,is_there_an_article_to_be_submitted,trigger_comments,has_ethical_review_bord,various_countries,sponsor,other_final_impact,goal_id,trigger_id,security_context_id,population_id,role_of_epicentre_id,impact_expected_id,health_structure_id,study_design_id,methodology_id,data_type_id,linked_project_id,topic_id,creation_id
425,448,2015-01-15 ,2016-01-06 ,Field trial of outpatient SAM treatment without systematic amoxicillan,821566,"","",2015-01-01,2015-12-31,"","",1,,60,60,1,2,1,5,10,49,469,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,72,
426,449,2015-01-15 ,2016-05-17 ,Neonatal Sepsis Trial,821567,"","",2015-01-01,2016-01-31,"","",1,,60,43,1,2,1,15,5,43,470,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,60,
427,450,2015-01-15 ,2015-06-24 ,Omnigene,821568,"","",2015-01-01,2015-12-31,"","",1,,60,97,1,2,1,31,19,43,471,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,40,
428,451,2015-01-15 ,2016-07-11 ,Analyse bedaquilline  Arménie,821569,"","",2015-01-01,2015-12-31,"","",1,,60,60,5,9,1,31,18,26,472,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,40,
429,452,2015-01-15 ,2018-08-03 ,Screening HIV infants Ndhiwa - doublon ,821570,"",Ndhiwa,2013-12-31,2014-12-31,Screening HIV infants Ndhiwa - doublon ,"",1,,60,130,5,2,1,3,14,60,473,1,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,
430,453,2015-01-15 ,2016-05-17 ,UZIMA,821571,"","",2015-01-01,2015-12-31,"","",1,,60,43,1,2,1,15,13,80,474,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,60,
431,454,2015-01-16 ,2015-01-16 ,Impact assessment on Stunting Prevention in Laos PDR,823572,"","",2013-10-01,2014-03-31,"","",1,,60,60,1,2,1,5,68,49,475,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,72,
432,455,2015-01-26 ,2016-10-26 ,SAMBA,821576,"","",2015-01-01,2015-12-31,"","",1,,60,60,5,2,1,3,,33,479,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20,
433,456,2015-02-03 ,2015-11-23 ,Jahun  OCP  Nigeria  2016,811350,"",Jahun,2015-02-01,2015-12-31,description of patients admitted in Jahun hospital&nbsp; in 2014,description of patients admitted in Jahun hospital&nbsp; in 2014,1,,33,60,5,1,1,37,12,21,480,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,57,
434,457,2015-02-04 ,2019-01-10 ,Adjumani  carriage second and third round 2015  OCP,821577,UG967,Adjumani ,2015-01-01,2018-12-31,Description&nbsp;,Description&nbsp;,1,,33,130,7,2,1,1,13,33,481,4,"",4,"",,"","","","",,0,0,0,0,0,0,"",0,0,"","",4,6,4,3,1,1,,1,5,3,,24,
435,458,2015-02-17 ,2017-01-10 ,OCG Freetown mortality survey 20,812351,"",Freetown,2015-01-01,2015-07-31,"","",1,,33,60,5,1,1,35,60,7,482,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11,
436,459,2015-02-17 ,2015-06-03 ,OCG sierra leone outreach activities Freetown,812352,"",Freetown,2014-11-01,2015-12-31,"","",1,,33,97,5,1,1,35,60,7,483,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11,
437,460,2015-02-17 ,2016-07-11 ,OCG freetown  follow up of survivor ,812353,"",Freetown,2015-01-01,2015-12-31,"","",1,,33,60,5,9,1,35,60,7,484,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11,
438,461,2015-02-18 ,2018-11-02 ,Hepatitis C  Unitaid study  Uganda Mbarara field,823578,UG968,Mbarara,2015-01-01,2018-12-31,part of the Hepatitis C (HCV) UNITAID grant  to support the implementation of the HCV activities in resources limited settings and the advocacy  led by the Access Campaign. This project includes the screening and the treatment of HIV patients  in close collaboration with the HIV MoH clinic of Mbarara as well as advocacy activities. &nbsp;Methods The MoH HIV cohort will be screened with RDT as part of their HIV follow up. The patients with positive RDT will get a VL to confirm the active infection. Then the patients will be proposed to participate to the studies: multicentric observational cohort and the evaluation of HCV tests.  Reporting  The project will report the activities in the monthly sitrep of the Mbarara research center. In addition  for the participants to the multi-centric cohort  quarterly reports will be produced and will be shared with local partners. A semi-annual report concerning the activities and the use of funds will be prepared to the HCV grant for the UNITAID sitrep.,"<p class=""MsoNormal""><strong><span lang=""EN-US"">Background </span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">The project is part of the Hepatitis C (HCV) UNITAID grant  to support the implementation of the HCV activities in resources limited settings and the advocacy  led by the Access Campaign. This project includes the screening and the treatment of HIV patients  in close collaboration with the HIV MoH clinic of Mbarara as well as advocacy activities. In addition  two studies will be implemented: the multi-centric cohort and the study of evaluation of tests. </span></p> <p class=""MsoNormal""><span lang=""EN-US"">&nbsp;<strong>Methods </strong></span></p> <p class=""MsoNormal"" style=""margin-bottom:6.0pt""><span lang=""EN-US"">The MoH HIV cohort will be screened with RDT as part of their HIV follow up. The patients with positive RDT will get a VL to confirm the active infection. Then the patients will be proposed to participate to the studies: multicentric observational cohort and the evaluation of HCV tests. </span></p> <p class=""MsoNormal""><strong><span lang=""EN-US"">Reporting </span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">The project will report the activities in the monthly sitrep of the Mbarara research center. In addition  for the participants to the multi-centric cohort  quarterly reports will be produced and will be shared with local partners. A semi-annual report concerning the activities and the use of funds will be prepared to the HCV grant for the UNITAID sitrep.</span></p>",1,,60,79,1,2,1,10,13,79,485,4,"",4,"",,"",IN HIV population ,"","",,2,,1,1,1,1,"",1,0,"",presentation in conferecnces  ,6,6,4,2,5,1,,1,5,4,,16,
439,462,2015-02-18 ,2019-01-10 ,Cholera surveillance  Kenya  OCP ,811354,"",Kenya,2015-02-01,2018-12-31,Cholera surveillance  Kenya  OCP ,Description,1,,33,130,7,1,1,22,14,116,496,4,"",1,"",,"","","","",,1,0,0,0,0,0,"",0,0,"","",5,2,4,2,1,4,,1,12,4,,6,
440,463,2015-02-24 ,2022-07-01 ,Salarié - Contribution annuelle -DASO,80S DASO,"","",2013-01-01,2020-12-01,Salarié - Contribution annuelle -DASO,"",0,,60,176,3,5,1,19,3,173,497,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,ADD8D421-B9C7-448E-9FE4-87CE499A4674
441,464,2015-02-24 ,2022-07-01 ,Salarié Epicentre - Contribution annuelle - DEIF,80S DEIF,"","",2013-01-01,2021-12-01,Salarié Epicentre - Contribution annuelle - DEIF,"",0,,60,176,5,5,1,19,3,33,498,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,E2D67B02-88FF-46A4-8C16-08DD37D6CB4D
442,465,2015-02-24 ,2022-07-01 ,Salarié Epicentre - Contribution annuelle - DG,80S DG,"","",2013-01-01,2020-12-01,Salarié Epicentre - Contribution annuelle - DG,"",0,,60,176,4,5,1,19,3,19,499,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,39BAE192-44B6-4859-BACD-B134F4AC0C54
443,466,2015-02-24 ,2022-03-22 ,Salarié Epicentre - Contribution annuelle - DESP,80S DESP,"","",2013-01-01,2021-12-01,Salarié Epicentre - Contribution annuelle - DESP,"",0,,60,161,1,5,1,19,3,43,500,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,4A26A7B1-C3B5-497E-B3A3-8B380082D865
444,467,2015-02-26 ,2016-07-11 ,VASCOMU: Validation of a clinical score for the diagnosis of Mycobacterium ulcerans (MU) infection in Cameroon ,822589,"","",2015-04-01,2015-12-31,To estimate the performance of the clinical score compared to PCR for the diagnosic of M ulcerans infection,"<span lang=""EN-US"" style=""font-family: Calibri  sans-serif;"">To estimate the p</span><span lang=""EN-US"" style=""font-family: Calibri  sans-serif;"">erformance of the clinical score compared to PCR for the diagnosic of <em style=""mso-bidi-font-style: normal;"">M ulceran</em>s infection</span>",1,,54,60,5,9,1,30,45,33,501,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,27,
445,468,2015-03-11 ,2019-01-10 ,organization of key documents and other resources,TMP_f2539b38-4aa7-4063-99f1-a49c1a36b5ae,"","",2014-01-01,2014-01-31,organization of key documents and other resources,"",0,,33,130,5,5,2,19,3,48,,1,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,
446,469,2015-03-11 ,2019-05-29 ,Mortality and snake bites  Agok  Maioun  South Sudan  OCG,812355,"",Agok,2016-02-01,2016-08-31,Enquête de nortalité retrospective et d'accès au soins à mayom Enquête retrospective d'incidence et de mortalité liée aux morsures de serpent à Agok,"",1,,33,62,5,1,1,6,5,62,503,4,"",2,"",,"",et enquêtes spécifique sur les morsures de serpent,"","",,2,,,,,,Mayom est un camp de déplacés mais pas Agok,0,0,"","",6,1,3,3,1,1,,1,1,4,,71,
447,470,2015-03-11 ,2016-10-26 ,Measles outbreak 2015  Yida  South Sudan   OCP,811356,"",Yida,2015-02-01,2015-06-30,"","",1,,33,60,5,1,1,23,5,33,504,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,43,
448,471,2015-03-11 ,2015-12-07 ,M&E activités VIH - Formation FUCHIA   Algérie  Annaba  OCB,842126,"",Annaba,2015-03-01,2015-12-31,Formation et Mise en place de FUCHIA Proposer des outils de suivi en plus de FUCHIA pour couvrir le continuum des soins depuis la sensibilisation,"<p>Formation et Mise en place de FUCHIA </p><p><span style=""font-size: 10pt; font-family: Calibri  sans-serif;"">Proposer des outils de suivi en plus de FUCHIA pour couvrir le continuum des soins depuis la sensibilisation</span></p>",1,,21,60,5,3,1,3,70,21,512,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
449,472,2015-03-11 ,2018-08-07 ,M&E system for South Tehran clinic  Iran,811357,"",Tehran,2015-03-01,2015-12-31,Développer une base de données pour la cliniqueDévelopper des rapports automatisés,<p>Développer une base de données pour la clinique</p><p>Développer des rapports automatisés<br /></p>,1,,21,130,8,1,1,25,55,21,506,4,"",4,"",,"","","","",,1,,,,,,"",,0,"","",5,6,4,2,1,,,1,9,2,,75,
450,473,2015-03-12 ,2018-10-18 ,MDR -TB sequencing project,822590,"","",2015-01-01,2015-12-31,MDR -TB sequencing project,"",1,,60,130,5,9,1,31,22,9,502,4,"",1,"",,"","","","",,0,,,,,,"",,1,"","",,,,,,,,,,,,40,
451,474,2015-03-12 ,2019-01-04 ,Data extraction for Kenya trial  OCP,811358,"",Mathare,2015-03-01,2015-06-30,Data extraction to support the Kenya trial related to PMTCT mothers,Data extraction to support the Kenya trial related to PMTCT mothers<br />,1,,21,60,8,1,1,3,14,21,507,4,"",2,"",,"","","","",,1,,,,,,"",,0,"","",6,6,4,2,1,4,,1,5,1,,20,
452,475,2015-03-13 ,2018-08-09 ,Cohort neonates  South Sudan  Aweil  OCP,811359,"",Aweil,2015-02-01,2016-12-31,Cohort neonates  South Sudan  Aweil  OCP,"",1,,33,130,7,1,1,19,5,12,510,4,"",4,"",,"","","","",,1,,,,,,"",,0,"","",6,6,1,2,1,4,,1,5,3,,75,
453,476,2015-03-13 ,2017-01-10 ,Nutributter  Mali  OCP,821591,"",Konseguela,2015-01-01,2015-12-31,Comparison of indicators between PPD use and Nutributter use in an under 2 cohort  Konseguela  Mali,Comparison of indicators between PPD use and Nutributter use in an under 2 cohort  Konseguela  Mali<br />,1,,52,60,5,2,1,5,8,52,508,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,72,
454,477,2015-03-19 ,2018-08-08 ,Ndhiwa Household enumeration ,811360,"",Ndhiwa,2015-02-01,2015-04-30,Ndhiwa Household enumeration ,"",1,,17,130,7,1,1,3,14,17,511,4,"",1,"",,"","","","",,1,,,,,,"",,0,"","",,,,,,,,,,,,20,
455,478,2015-03-23 ,2016-11-14 ,Longitudinal cohort of EVD survivors  Freetown  Sierra Leone,822592,"",Freetown,2015-03-01,2016-04-30,"","",1,,43,60,1,2,1,35,60,7,513,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11,
456,479,2015-03-23 ,2019-02-19 ,OCV vaccine coverage and surveillance  Malawi,823594,"","",2015-03-23,2015-12-31,OCV vaccine coverage and surveillance  Malawi,"",1,,43,60,1,2,1,1,15,82,515,4,"",1,"",,"","","","",,1,,,,,,"",,0,"","",5,2,4,,,1,,1,1,4,,6,
457,480,2015-03-30 ,2018-08-09 ,Dystonic syndrome  RDC  OCG  2015,812361,"",BUNYA,2015-02-16,2017-12-31,Dystonic syndrome  RDC  OCG  2015,"",1,,33,130,7,1,1,19,1,23,516,4,"",1,"",,"","","","",,1,,,,,,"",,0,"","",6,2,4,2,1,1,,1,11,4,,58,
458,481,2015-04-08 ,2018-08-07 ,Coordination de l'activité de formation du centre de recherche de Mbarara,821595,"","",2015-01-01,2015-12-31,Coordination de l'activité de formation du centre de recherche de Mbarara,"",1,,60,130,4,2,1,20,13,19,517,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,
459,482,2015-04-08 ,2020-12-29 ,Program Monitoring for MUAC as admission and exit criteria,822596,NE952,"",2015-04-01,2020-06-01,This is a monitoring study to assess the implications of using MUAC as the sole anthropometric criterion for admission  follow up and discharge from SAM. ,"<p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 0.000133333px;"">This is a monitoring study to assess the implications of using MUAC as the sole anthropometric criterion for admission  follow up and discharge from SAM. </p>",1,,43,161,1,2,1,5,10,49,521,4,"",1,"",,"","","","",,5,0,1,0,0,0,"",1,0,"","",6,6,4,2,1,4,,1,9,4,,59,BD87643F-2745-4D20-B621-04890B534C7F
460,483,2015-04-08 ,2018-08-08 ,Test and Treat Evaluation South Sudan,812362,"",Yambio,2015-04-01,2015-12-31,Support documentation of program acceptability  adherence  retention&nbsp; and outcomes evaluation of a community based HIV test and treat program in rural communities of Yambio  South Sudan,Support documentation of program acceptability  adherence  retention&nbsp; and outcomes evaluation of a community based HIV test and treat program in rural communities of Yambio  South Sudan<br />,1,,3,130,8,9,1,3,5,3,520,4,"",1,"",,"","","","",,1,,,,,,"",,0,"","",,,,,,,,,,,,20,
461,484,2015-04-08 ,2019-02-20 ,Gambella  vaccination coverage PCV  2015  OCP,811363,"",gambella ethiopia ,2015-02-01,2015-12-31,Gambella  vaccination coverage PCV  2015  OCP,"",1,,33,130,5,1,1,1,75,3,522,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,41,
462,485,2015-04-09 ,2018-11-06 ,Internal Training for OCBA (PPD),842127,"",Barcelona,2015-04-15,2015-12-31,Internal Training for OCBA (PPD),"",1,,1,130,9,3,1,20,2,1,523,4,PPD OCBA 2015,4,"",,"","","","",,1,,,,,,"",0,0,"","",,,4,,1,,,,,,,,
463,486,2015-04-15 ,2016-09-20 ,Epidémie de méningite à méningocoques (NmC) à Dosso  Niger,811364,NE944,Dosso,2015-04-15,2015-12-31,Investigation d'une épidémie  enquête de couverture vaccinale,Investigation d'une épidémie  enquête de couverture vaccinale,1,,39,60,5,1,1,26,10,39,524,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,24,
464,487,2015-04-17 ,2018-08-09 ,Support Operational Research MSF-OCG,822597,"","",2015-05-01,2015-12-31,Support Operational Research MSF-OCG,"",1,,38,130,5,9,1,19,285,38,525,4,"",1,"",,"","","","",,1,,,,,,"",,0,"","",6,6,4,3,,4,,4,10,6,,78,
465,488,2015-04-22 ,2018-07-23 ,Description of pediatric patients presenting with signs of septic shock  Koutiala  Mali,821598,"",Koutiala,2015-04-22,2017-02-28,Prospective data collection among children with suspected shock in a large pediatric hospital.,Prospective data collection among children with suspected shock in a large pediatric hospital.,1,,39,130,1,2,1,15,8,39,526,4,"",4,"",,"","","","",,0,0,1,1,1,0,"",0,0,"","",,,3,2,1,4,,1,,2,,60,
466,489,2015-04-23 ,2019-05-23 ,Evaluation of brucellosis diagnostic tests,824599,"","",2015-01-01,2017-12-31,evaluation,evaluation<br />,1,,4,130,1,2,1,28,5,4,527,4,"",1,"",,"","","","",,1,0,0,0,0,0,"",1,0,"","",3,6,1,2,1,4,,1,9,3,823,4,
467,490,2015-04-27 ,2022-02-11 ,Décentralisés - Afrique du Sud,80AFRS,"","",2015-01-01,2022-01-01,Frais décentralisés Afrique du Sud,Déplacements décentralisés Afrique du Sud,0,,60,176,3,10,1,19,3,142,528,4,Décentralisés - Afrique du Sud,1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,75,C0505001-D93E-4D98-9174-32FFA0B55EFE
468,491,2015-05-07 ,2016-10-26 ,ASAQ MDA effect on EVD transmission and severity,812365,"","",2015-04-01,2016-12-31,"","",1,,4,60,5,1,1,35,60,33,531,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11,
469,492,2015-05-12 ,2018-12-04 ,POC  M&E  Impact  Feasibility  Outcome  - Unitaid (via OCP),823602,"",Chriradzulu / Arua,2015-01-01,2017-12-31,3 years UNITAID grant   Implementation of PoC machines (CD4 and Samba VL)   Epicentre role is to create the monitoring system (CRF &amp; database)  to accompany MSF in implementing it  to help the field in providing the routine monitoring indicators defined in the UNITAID proposal and finally to perform analysis on impact  feasibility and outcomes (VL cascade). ,"<p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 0.000133333px;"">3 years UNITAID grant   Implementation of PoC machines (CD4 and Samba VL)   Epicentre role is to create the monitoring system (CRF &amp; database)  to accompany MSF in implementing it  to help the field in providing the routine monitoring indicators defined in the UNITAID proposal and finally to perform analysis on impact  feasibility and outcomes (VL cascade). </p>",1,,60,21,8,2,1,3,13,21,532,4,"",1,"",,"","","","",,5,1,1,,1,,"",0,1,"","",2,6,4,2,1,1,,1,5,2,779,20,
470,493,2015-05-12 ,2021-01-29 ,MDR-TB operational research  Kyrgystan  Belarus  India  Georgia  Armenia  Kenya  UNITAID EndTB(via OCP),823603,"","",2015-01-01,2020-08-01,MDR-TB operational research  Kyrgystan  Belarus  India  Georgia  Armenia  Kenya  UNITAID EndTB(via OCP),"",1,,60,182,8,2,1,31,18,26,533,4,"",1,"",,"","","","",,1,0,1,0,0,0,"",1,1,"","",1,6,4,2,1,1,,1,9,3,,40,BAEBAD5D-5A62-4A1B-AD15-EBEDEB1FD765
471,494,2015-05-12 ,2017-07-27 ,Task shifting in HIV programs  UNITAID (via OCP),823604,,"",2015-01-01,2017-12-31,"","",1,,60,60,7,2,1,3,15,9,534,4,,4,,,,,,,,0,1,0,1,0,0,,1,0,,,2,6,4,2,1,1,,1,9,4,777,20,
472,495,2015-05-12 ,2022-10-06 ,endTB - Evaluating Newly approved Drugs for multidrug-resistant TB,823605,"","",2015-01-01,2023-12-01,Randomized  controlled  open-label  multi-country Phase III trial evaluating the efficacy of new combination regimens for treatment of MDR-TB. 5 experimental and 1 standard-of-care control arms. Sponsor: MSF. Funding: UNITAID. Epicentre: Data management and statistics.,description,0,,60,176,1,2,1,31,27,172,535,2,EndTB,1,"",,"","","","",,2,0,0,0,0,0,"",0,1,"","",2,6,4,2,2,1,,1,4,3,,40,1E687AAC-551F-403F-93D7-D1F1EE516AA0
473,496,2015-05-12 ,2016-01-05 ,IIEHSS Study  UNITAID (via OCP),823606,"",Ndhiwa,2015-01-01,2015-12-31,Sous financement UNITAID  expertise à facturer&nbsp;Impact of Infant Expanded HIV Screening Strategy using Point Care EID in Ndhiwa,<p>Sous financement UNITAID  expertise à facturer</p><p>&nbsp;Impact of Infant Expanded HIV Screening Strategy using Point Care EID in Ndhiwa</p>,1,,60,60,5,9,1,3,14,17,536,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20,
474,497,2015-05-12 ,2018-10-30 ,Effectiveness Same Day CD4 test / ART start  &  Analysis : Safe to stop CD4 count  UNITAID (via OCP),823607,"","",2015-01-01,2017-12-31,Effectiveness Same Day CD4 test / ART start  &  Analysis : Safe to stop CD4 count  UNITAID (via OCP),"",1,,60,130,7,2,1,3,15,9,537,4,"",4,"",,"","","","",,3,1,1,1,0,0,"",0,0,"","",7,6,4,2,1,1,,1,3,2,778,20,
475,498,2015-05-12 ,2018-11-09 ,HIV/AIDS in Adolescents  Resistance and Adherence  UNITAID (via OCP),823608,"","",2015-01-01,2017-12-31,HIV/AIDS in Adolescents  Resistance and Adherence  UNITAID (via OCP),"",1,,60,130,7,2,1,3,15,9,538,4,"",4,"",,"","","","",,3,1,1,1,0,0,"",1,0,"","",1,6,4,2,1,1,,1,1,3,780,20,
476,499,2015-05-19 ,2018-09-11 ,Mortality survey and surveillance  Maiduguri  Nigeria 2015,811366,"",Maiduguri ,2015-05-01,2017-12-31,Mortality and violence survey and setting up community based mortality surveillance in the displaced population  Maiduguri Nigeria 2015,Mortality and violence survey and setting up community based mortality surveillance in the displaced population  Maiduguri Nigeria 2015,1,,33,130,7,1,1,6,12,10,539,4,"",4,"",,"","","","",,1,0,0,0,0,0,"",0,0,"","",6,1,1,,1,4,,,,,,70,
477,500,2015-05-22 ,2018-07-26 ,Etude de portage du méningocoque C au Niger,822609,"","",2015-05-01,2017-12-31,carriage survey&nbsp;,carriage survey&nbsp;,1,,4,130,1,2,1,1,10,4,540,4,"",1,"",,"","","","",,6,0,1,0,1,0,"",1,0,OCG,"",4,2,4,2,1,4,,1,1,3,,24,
478,501,2015-05-27 ,2015-09-28 ,Cholera  Tanzania  Refugees  2015,812367,"","",2015-05-15,2015-08-31,"","",1,,33,60,5,1,1,22,80,48,541,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,6,
479,502,2015-06-08 ,2018-08-09 ,Meningite  Niamey  Niger  OCG  2015,812368,"",Niamey,2015-03-01,2015-11-30,Description de l'epidemie de meningite a Niamey,Description de l'epidemie de meningite a Niamey,1,,33,130,7,1,1,19,10,62,542,4,"",4,"",,"","","","",,1,,,,,,"",,0,"","",6,2,3,1,1,4,,1,11,3,,23,
480,503,2015-06-09 ,2018-10-25 ,External services - ASTRO-CM,823611,UG972,Mbarara,2015-02-01,2018-12-31,Funding : 56 034USDMulticenter clinical trial on Sertraline treatment for Cryptococcal meningitis,<p>Funding : 56 034USD</p><p>Multicenter clinical trial on Sertraline treatment for Cryptococcal meningitis</p>,1,,11,60,4,10,1,26,13,11,544,4,"",1,"",,"","","","",,0,0,0,0,0,0,"",0,0,"","",7,7,4,,,,,,,,,75,
481,504,2015-06-09 ,2017-01-10 ,External services - MUST pediatric pneumonia study,823620,"",Mbarara,2015-01-01,2016-12-31,"","",1,,11,60,4,2,1,15,13,11,559,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,60,
482,505,2015-06-09 ,2019-02-19 ,External services - Wisepill,823612,UG971,Mbarara,2014-09-01,2015-12-31,External services - Wisepill,"",1,,11,60,4,2,1,3,13,11,545,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,20,
483,506,2015-06-09 ,2019-02-19 ,External services - UPIM,823613,UG975,Mbarara,2015-03-01,2016-12-31,Uganda Peripartum Infection and Mortality (UPIM) Study,"<span style=""text-decoration: underline;""><span style=""line-height: 115%; font-size: 11pt; font-family: &quot;Trebuchet MS&quot; sans-serif;"" lang=""EN-US"">Uganda Peripartum Infection and Mortality (UPIM) Study</span></span><span style=""line-height: 115%; font-size: 11pt; font-family: &quot;Trebuchet MS&quot; sans-serif;"" lang=""EN-US""></span>",1,,11,60,4,2,1,37,13,11,546,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,57,
484,507,2015-06-09 ,2019-02-19 ,External services - Obstructed labor (UPIM neasted study),823614,UG976,Mbarara,2015-06-01,2016-12-31,External services - Obstructed labor (UPIM neasted study),"",1,,11,60,4,2,1,37,13,11,547,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,57,
485,508,2015-06-10 ,2021-01-28 ,test,800013,"",Paris,2014-05-01,2014-08-06,tester,tester,0,,97,176,3,5,2,19,3,97,548,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,3A991681-A7FB-4803-89C3-5B7645FADC19
486,509,2015-06-10 ,2018-08-04 ,A compléter,TMP_5f41da57-5044-48ee-a8a4-652c9285aeef,"",Guinea   Liberia  and Sierra Leone,2015-06-01,2015-09-30,A compléter ,"<span style=""font-size: 12pt; font-family: 'Times New Roman';""> </span><p align=""center"" style=""margin: 0cm 0cm 7pt; text-align: center;""><br /></p><span style=""font-size: 12pt; font-family: 'Times New Roman';""> </span>",1,,33,130,5,1,1,35,285,60,,4,"",1,"",,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,
487,510,2015-06-10 ,2018-08-04 ,Evaluating the Impact of Safe and Dignified Burials in the West Africa Ebola Virus Crisis,813369,"",Guinea   Liberia  and Sierra Leone,2015-06-01,2015-12-31, Evaluating the Impact of Safe and Dignified Burials in the West Africa Ebola Virus Crisis ,"<span style=""font-size: 12pt; font-family: 'Times New Roman';""> </span><p align=""center"" style=""margin: 0cm 0cm 7pt; text-align: center;""><strong><span lang=""EN-GB"" style=""font-size: 11pt; font-family: Calibri  sans-serif;"">Evaluating the Impact of Safe and Dignified Burials in the West Africa Ebola Virus Crisis</span></strong></p><span style=""font-size: 12pt; font-family: 'Times New Roman';""> </span>",1,,33,130,5,1,1,35,285,7,549,4,"",1,"",,"","","","",,1,,,,,,"",,0,"","",6,6,,2,1,1,,,,,,11,
488,511,2015-06-16 ,2020-03-03 ,Randomised non-inferiority trial of two snake antivenoms,821615,"",Paoua,2015-06-01,2019-12-01,Randomised non-inferiority trial of two snake antivenoms,Randomised non-inferiority trial of two snake antivenoms,1,,39,43,1,2,1,33,4,39,552,4,"",4,"",,"","","","",,1,0,1,1,1,0,"",1,0,"","",2,6,3,2,1,1,,1,4,3,,67,123C5977-CCB7-465A-9F6D-C453569D430B
489,512,2015-06-18 ,2018-12-05 ,PSP_Kampala_2015_Francais_OCGOCP,844128,"",Kampala,2015-01-01,2015-12-31,PSP Kampala 2015,"",1,,33,154,5,3,1,20,13,16,550,4,PSP Kampala 2015,1,"",,"","","","",,2,,,,,,"",,0,"","",,,4,,5,,,,,,,,
